category,item,energy_kcal,protein_g,totalfat_g,saturatedfat_g,cholesterol_mg,carbohydrates_g,dietaryfibres_g,sodium_mg,egg,fish,milk,peanuts,soyabeans,treenuts,wheat,gluten,msg,sulphite
beverages,Dasani® Drinking Water,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
beverages,Coca-Cola® Original Taste Less Sugar (Small),109,0,0,0,0,27,0,7,False,False,False,False,False,False,False,False,False,False
beverages,Coca-Cola® Original Taste Less Sugar (Medium),152,0,0,0,0,38,0,10,False,False,False,False,False,False,False,False,False,False
beverages,Coca-Cola® Original Taste Less Sugar (Large),221,0,0,0,0,55,0,15,False,False,False,False,False,False,False,False,False,False
beverages,Coca-Cola® Zero Sugar (Small),0,0,0,0,0,0,0,29,False,False,False,False,False,False,False,False,False,False
beverages,Coca-Cola® Zero Sugar (Medium),0,0,0,0,0,0,0,40,False,False,False,False,False,False,False,False,False,False
beverages,Coca-Cola® Zero Sugar (Large),0,0,0,0,0,0,0,58,False,False,False,False,False,False,False,False,False,False
beverages,Sprite® (Small),80,0,0,0,0,20,0,47,False,False,False,False,False,False,False,False,False,False
beverages,Sprite® (Medium),112,0,0,0,0,27,0,65,False,False,False,False,False,False,False,False,False,False
beverages,Sprite® (Large),163,0,0,0,0,40,0,95,False,False,False,False,False,False,False,False,False,False
beverages,Iced MILO® (Small),227,7,6,3,4,36,2,132,False,False,True,False,True,False,False,True,False,True
beverages,Iced MILO® (Medium),322,10,9,4,5,51,3,187,False,False,True,False,True,False,False,True,False,True
beverages,Jasmine Green Tea (Small),62,0,0,0,0,15,0,22,False,False,False,False,False,False,False,False,False,False
beverages,Jasmine Green Tea (Medium),86,0,0,0,0,21,0,30,False,False,False,False,False,False,False,False,False,False
beverages,Iced Lemon Tea (Small),66,0,0,0,0,16,0,11,False,False,False,False,False,False,False,False,False,False
beverages,Iced Lemon Tea (Medium),91,0,0,0,0,22,0,15,False,False,False,False,False,False,False,False,False,False
beverages,100% Pure Orange Juice (Small) ,193,2,0,0,0,45,0,0,False,False,False,False,False,False,False,False,False,False
beverages,100% Pure Orange Juice (Junior) ,145,2,0,0,0,34,0,0,False,False,False,False,False,False,False,False,False,False
beverages,Low-Fat Hi-Calcium Milk,96,7,3,2,10,10,0,98,False,False,True,False,False,False,False,False,False,False
beverages,Hot MILO® ,192,5,4,2,4,33,2,153,False,False,True,False,True,False,False,True,False,False
beverages,Hot Tea ,4,1,0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False
beverages,McCafé® Premium Roast Coffee,14,3,0,0,0,0,0,2,False,False,False,False,False,False,False,False,False,False
beverages,McCafé® Cappuccino,166,9,9,7,0,13,0,0,False,False,True,False,False,False,False,False,False,False
beverages,McCafé® Latte,182,10,10,7,0,14,0,0,False,False,True,False,False,False,False,False,False,False
beverages,McCafé Iced Latte,237,7,8,6,0,36,0,21,False,False,True,False,False,False,False,False,False,False
beverages,Mocha Frappé (Small),279,5,11,6,32,39,0,206,False,False,True,False,False,False,False,False,False,False
beverages,Mocha Frappé (Medium),406,7,16,9,46,58,0,301,False,False,True,False,False,False,False,False,False,False
beverages,Caramel Frappé (Small),235,4,8,5,26,34,0,199,False,False,True,False,False,False,False,False,False,False
beverages,Caramel Frappé (Medium),342,6,12,7,38,50,0,291,False,False,True,False,False,False,False,False,False,False
beverages,Double Chocolate Frappe (Small),267,4,9,6,0,41,1,214,False,False,True,False,False,False,True,True,False,False
beverages,Double Chocolate Frappe (Medium),393,6,13,9,0,60,2,315,False,False,True,False,False,False,True,True,False,False
breakfast,Big Breakfast® ,496,27,22,6,418,47,5,971,True,False,False,False,True,False,True,True,False,False
breakfast,Breakfast Deluxe,805,31,29,10,487,104,6,1123,True,False,True,False,True,False,True,True,False,False
breakfast,Hotcakes,557,9,18,6,20,91,3,685,True,False,True,False,True,False,True,True,False,False
breakfast,Hotcakes with Sausage,619,16,21,7,51,92,4,974,True,False,True,False,True,False,True,True,False,False
breakfast,Breakfast Wrap Chicken Sausage,472,22,24,9,236,44,5,1353,True,False,True,False,True,False,True,True,False,False
breakfast,Breakfast Wrap Chicken Ham,430,17,21,8,222,43,4,1201,True,False,True,False,True,False,True,True,False,False
